PRODUTO;DESCRIPTION
Amazon Detective;O Amazon Detective é um serviço de segurança da Amazon Web Services (AWS) que ajuda a investigar e identificar possíveis problemas de segurança em suas cargas de trabalho na nuvem. Ele automatiza a coleta, análise e correlação de dados de logs para fornecer insights sobre possíveis ameaças e atividades suspeitas em sua infraestrutura na nuvem. O Amazon Detective simplifica o processo de investigação de incidentes de segurança, permitindo que você identifique e resolva rapidamente possíveis vulnerabilidades. É uma ferramenta útil para melhorar a segurança e a conformidade de suas aplicações e dados na nuvem.
Amazon DocumentDB;Amazon DocumentDB é um serviço de banco de dados gerenciado e escalável oferecido pela Amazon Web Services (AWS). Ele é compatível com a API do MongoDB, o que significa que você pode usar suas aplicações existentes que usam MongoDB com o Amazon DocumentDB sem a necessidade de modificar o código.
Amazon DynamoDB;Amazon DynamoDB é um serviço de banco de dados NoSQL totalmente gerenciado oferecido pela Amazon Web Services (AWS). Ele fornece armazenamento de dados de baixa latência e alto desempenho, sendo altamente escalável e confiável. DynamoDB é conhecido por sua capacidade de lidar com cargas de trabalho de aplicativos com requisitos de desempenho muito altos, como aplicativos da web, jogos, aplicativos móveis, IoT e muito mais.
Amazon EFS;O Amazon Elastic File System (EFS) é um serviço de armazenamento de arquivos totalmente gerenciado pela Amazon Web Services (AWS). Ele fornece um sistema de arquivos simples e escalável na nuvem que pode ser acessado por várias instâncias EC2 simultaneamente. O Amazon EFS é altamente disponível e durável, e pode ser facilmente escalado para atender às necessidades de armazenamento de dados em constante crescimento.
Amazon ElastiCache for Redis/MemCache;O Amazon ElastiCache é um serviço de cache na nuvem oferecido pela Amazon Web Services (AWS) que suporta tanto Redis quanto Memcached. O ElastiCache é uma solução gerenciada que facilita a implantação, operação e escalabilidade de caches na nuvem, permitindo que os desenvolvedores melhorem o desempenho de suas aplicações ao armazenar dados em memória.
Amazon Event Bridge;O Amazon EventBridge é um serviço de nuvem da Amazon Web Services (AWS) que facilita a integração de aplicativos por meio da transmissão de eventos em tempo real. Ele permite que você conecte diferentes serviços e aplicativos de forma fácil e segura, automatizando fluxos de trabalho e reagindo a eventos em tempo real.
Amazon Fraud Detector;O Amazon Fraud Detector é um serviço de nuvem da Amazon Web Services (AWS) que ajuda a proteger contra fraudes e abusos online. Ele utiliza machine learning e análise de dados para identificar atividades suspeitas, como transações fraudulentas, contas falsas e comportamentos maliciosos. Com o Amazon Fraud Detector, as empresas podem criar modelos personalizados para detectar e prevenir fraudes de forma mais eficaz, ajudando a proteger seus negócios e clientes. Este serviço oferece uma maneira escalável e fácil de implementar medidas de segurança contra fraudes, permitindo que as empresas se concentrem em suas operações principais.
Amazon Fsx for Lustre;O Amazon FSx for Lustre é um serviço de armazenamento de arquivos de alta performance da Amazon Web Services (AWS) que oferece um sistema de arquivos Lustre totalmente gerenciado na nuvem. Ele é projetado para cargas de trabalho que exigem acesso rápido e escalabilidade para processamento de dados intensivo, como análise de big data, simulações de engenharia, renderização de vídeo e muito mais.
Amazon FSX for Windows;O Amazon FSx for Windows é um serviço de armazenamento de arquivos totalmente gerenciado pela Amazon Web Services (AWS) que oferece armazenamento de arquivos altamente confiável e escalável para cargas de trabalho do Windows. Ele é projetado para ser compatível com uma ampla variedade de aplicativos do Windows, incluindo Microsoft SQL Server, SharePoint e muitos outros.
Amazon GuardDuty;O Amazon GuardDuty é um serviço de segurança gerenciado pela AWS que ajuda a proteger sua infraestrutura na nuvem. Ele monitora continuamente sua conta da AWS em busca de atividades maliciosas ou não autorizadas, como tentativas de invasão, comportamento de malware e comunicações suspeitas. O GuardDuty usa análise de machine learning e inteligência de ameaças para identificar possíveis ameaças de segurança e fornece alertas em tempo real para que você possa responder rapidamente a incidentes de segurança. Com o Amazon GuardDuty, você pode melhorar a segurança de sua infraestrutura na nuvem e proteger seus dados e recursos contra ameaças cibernéticas.
Amazon Inspector;O Amazon Inspector é um serviço de segurança da AWS que ajuda a melhorar a segurança e conformidade de suas aplicações implantadas na nuvem. Ele realiza avaliações automatizadas de segurança em suas instâncias EC2 e aplicações baseadas em AWS, identificando possíveis vulnerabilidades de segurança e violações de melhores práticas.
Amazon Kendra;Amazon Kendra é um serviço de busca inteligente da Amazon Web Services (AWS) que facilita a busca de informações dentro da sua organização. Ele utiliza inteligência artificial para entender o contexto das consultas dos usuários e fornecer resultados relevantes de maneira rápida e precisa. Com o Amazon Kendra, é possível indexar diversos tipos de dados, como documentos, planilhas, bancos de dados e até mesmo conversas em tempo real, tornando a busca por informações muito mais eficiente. Além disso, o serviço oferece recursos avançados, como sugestões de consultas, respostas diretas e personalização de resultados.
Amazon Keyspaces;Amazon Keyspaces é um serviço de banco de dados gerenciado da Amazon Web Services (AWS) que oferece armazenamento de dados escalável e altamente disponível para aplicativos que exigem acesso rápido e consistente a dados de baixa latência. Ele é baseado no Apache Cassandra, um banco de dados NoSQL distribuído altamente escalável e altamente disponível.
;
Amazon Kinesis Data Streams;O Amazon Kinesis Data Streams é um serviço da AWS que permite coletar, processar e analisar grandes volumes de dados em tempo real. Ele é especialmente útil para aplicações que exigem processamento de streaming de dados, como análise de logs, monitoramento de métricas, processamento de eventos em tempo real e muito mais.
;
Amazon Kinesis Video Streams;O Amazon Kinesis Video Streams é um serviço da Amazon Web Services (AWS) que facilita a ingestão, processamento e armazenamento de streams de vídeo em tempo real para análise e visualização. Com o Amazon Kinesis Video Streams, você pode capturar, armazenar e reproduzir vídeos de forma segura e escalável, permitindo a construção de aplicativos de vídeo avançados.
;
Amazon Lex;O Amazon Lex é um serviço de inteligência artificial da Amazon Web Services (AWS) que permite a criação de interfaces de conversação para seus aplicativos. Com o Amazon Lex, você pode construir chatbots e assistentes virtuais altamente interativos e personalizados, capazes de compreender e responder a perguntas em linguagem natural. Ele oferece recursos avançados de processamento de linguagem natural, como reconhecimento de fala, compreensão de texto e gerenciamento de diálogo, facilitando a criação de experiências de conversação sofisticadas. O Amazon Lex é altamente escalável e integrável com outros serviços da AWS, tornando-o uma escolha popular para empresas que desejam adicionar recursos de conversação aos seus aplicativos.
Amazon Macie;O Amazon Macie é um serviço de segurança e privacidade de dados oferecido pela Amazon Web Services (AWS). Ele utiliza inteligência artificial para automatizar a descoberta, classificação e proteção de dados confidenciais armazenados na nuvem. O Amazon Macie ajuda as organizações a identificar dados sensíveis, como informações pessoais e financeiras, e a aplicar políticas de segurança para proteger esses dados contra acessos não autorizados. Ele fornece relatórios detalhados e alertas em tempo real para ajudar as empresas a manter a conformidade com regulamentações de privacidade de dados, como o GDPR. Em resumo, o Amazon Macie é uma ferramenta poderosa para proteger a privacidade e a segurança dos dados na nuvem.
Amazon Managed Service for Apache Flink;O Amazon Managed Service for Apache Flink é um serviço gerenciado oferecido pela Amazon Web Services (AWS) que facilita a execução e o dimensionamento de aplicativos Apache Flink na nuvem. O Apache Flink é um framework de processamento de dados em tempo real e em lote, conhecido por sua capacidade de lidar com grandes volumes de dados de forma eficiente e escalável.
Amazon Managed Service for Prometheus;O Amazon Managed Service for Prometheus é um serviço totalmente gerenciado que facilita a coleta, armazenamento e consulta de métricas de aplicativos em escala. Ele permite que você monitore e analise o desempenho de seus aplicativos de forma eficiente, sem se preocupar com a infraestrutura subjacente. Com o Amazon Managed Service for Prometheus, você pode visualizar métricas em tempo real, criar alertas personalizados e obter insights valiosos para otimizar o desempenho de seus aplicativos. Este serviço é uma solução poderosa para monitoramento e observabilidade em ambientes de nuvem.
Amazon MQ;O Amazon MQ é um serviço de mensagens gerenciado que facilita a configuração e a operação de sistemas de mensagens baseados em Apache ActiveMQ e RabbitMQ na nuvem da Amazon Web Services (AWS). Ele oferece uma infraestrutura gerenciada para mensagens, permitindo que você se concentre no desenvolvimento de aplicativos sem se preocupar com a manutenção da infraestrutura subjacente.
Amazon Nepture;O Amazon Neptune é um serviço de banco de dados de grafo totalmente gerenciado pela Amazon Web Services (AWS). Ele é otimizado para armazenar e consultar dados de grafo altamente conectados, como redes sociais, recomendações de produtos e redes de conhecimento. O Neptune suporta os modelos de dados de grafo de propriedades e de grafos de etiquetas, e é compatível com as linguagens de consulta de grafo TinkerPop Gremlin e SPARQL.
Amazon Personalize;O Amazon Personalize é um serviço de machine learning que permite aos desenvolvedores criar recomendações personalizadas para os usuários com base em seus comportamentos e preferências. Ele utiliza algoritmos avançados para analisar dados de interações passadas dos usuários e prever quais itens eles podem gostar no futuro. Com o Amazon Personalize, as empresas podem oferecer experiências personalizadas e relevantes para seus clientes, aumentando a satisfação e a fidelidade do cliente. É uma ferramenta poderosa para melhorar a personalização e a segmentação de marketing em diversos setores, como varejo, mídia, entretenimento e muito mais.
Amazon Polly;O Amazon Polly é um serviço de texto para fala da Amazon Web Services (AWS) que permite converter texto em fala realista. Com o Amazon Polly, você pode criar aplicativos que falam em mais de 60 vozes realistas em diversos idiomas e variantes regionais. Além disso, o serviço oferece a capacidade de ajustar o tom, a velocidade e o estilo da fala para atender às necessidades específicas do seu aplicativo. O Amazon Polly é amplamente utilizado em aplicativos de assistência virtual, leitura de texto em voz alta, legendagem de vídeos e muito mais. É uma ferramenta poderosa para tornar a experiência do usuário mais acessível e envolvente.
Amazon Q;Amazon Q é um assistente de inteligência artificial generativa desenvolvido pela AWS, projetado especificamente para uso empresarial. Ele utiliza modelos de IA para responder perguntas, gerar conteúdo, solucionar problemas e executar ações baseadas nos dados e conhecimentos de uma organização. 
Amazon QuickSight;O Amazon QuickSight é um serviço de business intelligence (BI) da Amazon Web Services (AWS) que permite aos usuários criar visualizações de dados interativas e compartilhá-las com facilidade. Com o QuickSight, é possível conectar-se a diversas fontes de dados, como bancos de dados, serviços da AWS, arquivos locais e muito mais, para criar painéis e relatórios personalizados.
Amazon Redshift;O Amazon Redshift é um serviço de data warehousing totalmente gerenciado pela Amazon Web Services (AWS). Ele é projetado para processar grandes volumes de dados e executar consultas complexas de forma rápida e eficiente. O Redshift é baseado na tecnologia de banco de dados PostgreSQL e oferece escalabilidade, desempenho e segurança para análise de dados em escala.
Amazon Rekoginiton;O Amazon Rekognition é um serviço de análise de imagem e vídeo baseado em nuvem oferecido pela Amazon Web Services (AWS). Ele fornece recursos avançados de visão computacional para identificar objetos, pessoas, texto, cenas e atividades em imagens e vídeos. O Amazon Rekognition pode ser usado para automatizar tarefas de análise de mídia, como identificação de rostos, reconhecimento de celebridades, detecção de conteúdo inapropriado e muito mais. É uma ferramenta poderosa para empresas que desejam integrar recursos de visão computacional em seus aplicativos e processos de negócios.
Amazon S3;O Amazon S3 (Simple Storage Service) é um serviço de armazenamento em nuvem oferecido pela Amazon Web Services (AWS). Ele fornece uma maneira simples e escalável de armazenar e recuperar dados na nuvem. O Amazon S3 é altamente durável, seguro e altamente disponível, o que o torna uma escolha popular para armazenamento de dados, backup, arquivamento e distribuição de conteúdo estático, como imagens, vídeos e arquivos de mídia.
Amazon S3 Glacier;O Amazon S3 Glacier é um serviço de armazenamento de baixo custo e altamente durável oferecido pela Amazon Web Services (AWS). Ele é projetado para armazenar grandes volumes de dados que não precisam ser acessados com frequência, mas que ainda precisam ser mantidos com segurança e disponibilidade. O Amazon S3 Glacier é ideal para backup, arquivamento e retenção de dados a longo prazo.
Amazon S3 Glacier;O Amazon S3 Glacier Deep Archive é um serviço de armazenamento em nuvem da Amazon Web Services (AWS) projetado para armazenar dados que são acessados com pouca frequência, mas que precisam ser mantidos por longos períodos de tempo a um custo muito baixo. Ele é ideal para arquivar dados de conformidade, backup de longo prazo, registros de auditoria e outros tipos de dados que não precisam ser acessados com frequência.
Amazon Sagemaker;O Amazon SageMaker é um serviço de machine learning totalmente gerenciado oferecido pela Amazon Web Services (AWS). Ele fornece uma plataforma completa para desenvolver, treinar e implantar modelos de machine learning de forma rápida e fácil. Com o Amazon SageMaker, os desenvolvedores e cientistas de dados podem acessar algoritmos de machine learning pré-construídos, criar seus próprios modelos personalizados, treiná-los em grandes conjuntos de dados e implantá-los em escala para aplicações em produção.
Amazon Security Lake;O Amazon Security Lake é um serviço de nuvem da Amazon Web Services (AWS) que oferece uma solução de segurança avançada para proteger os dados e as informações sensíveis das organizações. Ele permite armazenar, analisar e monitorar grandes volumes de dados de segurança de forma centralizada, facilitando a detecção de ameaças e a resposta a incidentes de segurança.
Amazon Simple Notification Service (SNS);O Amazon Simple Notification Service (SNS) é um serviço de mensagens totalmente gerenciado que facilita a comunicação entre aplicativos, serviços e dispositivos. Com o SNS, você pode enviar notificações por push para dispositivos móveis, enviar mensagens por SMS, e-mails ou até mesmo para outros serviços da AWS, como o Amazon SQS (Simple Queue Service) e o AWS Lambda.
Amazon Simple Queue Service (SQS);O Amazon Simple Queue Service (SQS) é um serviço de mensagens totalmente gerenciado oferecido pela Amazon Web Services (AWS). Ele permite que você desacople componentes de um sistema distribuído, permitindo que eles se comuniquem de forma assíncrona e escalável. Com o SQS, você pode enviar, armazenar e receber mensagens entre diferentes partes de um aplicativo, sem se preocupar com a infraestrutura subjacente.
Amazon Storage Gateway;O Amazon Storage Gateway é um serviço de armazenamento em nuvem da Amazon Web Services (AWS) que permite integrar de forma transparente a infraestrutura de armazenamento local com a nuvem da AWS. Ele fornece uma ponte entre os sistemas de armazenamento locais e a infraestrutura de armazenamento em nuvem da AWS, permitindo que você armazene dados na nuvem de forma segura e escalável.
Amazon Textract;O Amazon Textract é um serviço de extração de texto e dados da Amazon Web Services (AWS) que utiliza tecnologia de machine learning para identificar e extrair informações de documentos em formato digital, como PDFs, imagens e arquivos de texto. Ele pode reconhecer e extrair texto, tabelas, formulários e outros dados de documentos de forma automatizada e eficiente. O Amazon Textract facilita a análise e processamento de grandes volumes de documentos, ajudando as empresas a automatizar tarefas manuais e a extrair insights valiosos dos seus dados.
Amazon Transcribe;O Amazon Transcribe é um serviço de transcrição de fala automática fornecido pela Amazon Web Services (AWS). Ele permite converter áudio em texto de forma rápida e precisa, facilitando a indexação e análise de conteúdo de áudio. O Amazon Transcribe suporta uma variedade de formatos de áudio e oferece recursos avançados, como identificação de falantes e transcrição em tempo real. É amplamente utilizado em aplicações como legendagem de vídeos, transcrição de reuniões e entrevistas, entre outros.
Amazon Translate;O Amazon Translate é um serviço de tradução automática neural oferecido pela Amazon Web Services (AWS). Ele permite que você traduza facilmente grandes volumes de texto em vários idiomas com alta precisão e rapidez. O Amazon Translate utiliza tecnologia de aprendizado de máquina para melhorar continuamente a qualidade das traduções, garantindo resultados mais naturais e precisos. Este serviço é útil para empresas que precisam traduzir conteúdo em tempo real, como websites, aplicativos móveis, documentos e muito mais. Com o Amazon Translate, você pode expandir o alcance do seu conteúdo para atingir um público global de forma eficiente e confiável.
Amazon Verified Permissions;O Amazon Verified Permissions é um serviço da AWS que facilita a gestão de permissões de acesso e controle de políticas para aplicações. Ele permite que os desenvolvedores implementem e gerenciem regras de acesso e autorizações de forma centralizada e consistente. 
Amazon VPC Lattice;O Amazon VPC Lattice é um serviço de rede da AWS que facilita a comunicação segura e escalável entre serviços em uma arquitetura de microsserviços. 
Anti-DDoS;O produto de nuvem Anti-DDoS é uma solução de segurança cibernética projetada para proteger os sistemas e redes contra ataques de negação de serviço distribuído (DDoS). Essa tecnologia é essencial para empresas e organizações que dependem da disponibilidade contínua de seus serviços online.
;
;O Anti-DDoS na nuvem funciona detectando e mitigando automaticamente os ataques DDoS em tempo real, garantindo que o tráfego malicioso seja filtrado antes de atingir o servidor de destino. Isso ajuda a manter os serviços online funcionando sem interrupções, protegendo a reputação da empresa e a confiança dos usuários.
;
;Além disso, o Anti-DDoS na nuvem geralmente oferece escalabilidade e flexibilidade, permitindo que as empresas ajustem facilmente a capacidade de proteção de acordo com as necessidades do momento. Essa solução é uma parte essencial da estratégia de segurança cibernética de qualquer organização que deseja proteger seus ativos digitais contra ataques DDoS.
API Gateway;O produto de nuvem API Gateway é uma solução que permite que desenvolvedores criem, gerenciem e monitorem APIs de forma eficiente. Ele atua como um intermediário entre clientes e serviços, facilitando a comunicação e o controle de acesso às APIs. Com o API Gateway, é possível implementar políticas de segurança, autenticação, autorização, limitação de taxa e transformação de dados, garantindo a segurança e o desempenho das APIs. Além disso, ele fornece insights detalhados sobre o tráfego de API, permitindo que os desenvolvedores otimizem e melhorem continuamente suas APIs. Em resumo, o API Gateway é uma ferramenta essencial para criar e gerenciar APIs de forma eficaz na nuvem.
Application Load Balancer;O Application Load Balancer (ALB) é um serviço de balanceamento de carga da AWS que distribui o tráfego de aplicativos entre várias instâncias EC2 em várias zonas de disponibilidade. Ele opera na camada de aplicativo (camada 7) do modelo OSI, o que significa que ele pode rotear o tráfego com base em informações do cabeçalho HTTP, URLs e cookies.
Application Performance Monitoring Service-Synthetic Usage;O produto de nuvem Application Performance Monitoring Service-Synthetic Usage é uma ferramenta que permite monitorar e avaliar o desempenho de aplicativos em ambientes de nuvem. Ele oferece recursos de monitoramento sintético, que simulam interações de usuários reais com o aplicativo para identificar possíveis problemas de desempenho. Com essa ferramenta, é possível detectar e corrigir problemas antes que afetem os usuários finais, garantindo uma experiência mais estável e satisfatória. Além disso, o serviço de monitoramento sintético ajuda a otimizar o desempenho do aplicativo, melhorar a eficiência operacional e aumentar a satisfação do cliente.
Application Performance Monitoring Service-Tracing Data;O produto de nuvem Application Performance Monitoring Service-Tracing Data é uma ferramenta essencial para monitorar e analisar o desempenho de aplicações em ambientes de nuvem. Ele fornece insights detalhados sobre o comportamento e a eficiência das aplicações, permitindo identificar gargalos, problemas de desempenho e otimizar a experiência do usuário.
;
;Com o serviço de rastreamento de dados, é possível acompanhar o fluxo de execução de uma aplicação, identificar transações específicas, analisar tempos de resposta, detectar erros e anomalias, e obter métricas detalhadas sobre o desempenho de cada componente da aplicação.
;
;Essa ferramenta é fundamental para garantir a disponibilidade, confiabilidade e eficiência das aplicações em ambientes de nuvem, ajudando as equipes de desenvolvimento e operações a tomar decisões informadas e aprimorar continuamente o desempenho das aplicações.
Auto Scaling;O produto de nuvem Auto Scaling é uma ferramenta que permite ajustar automaticamente a capacidade de computação de um ambiente de nuvem de acordo com a demanda. Isso significa que o Auto Scaling pode adicionar ou remover instâncias de servidores conforme necessário para lidar com picos de tráfego ou reduzir custos em períodos de baixa demanda.
AWS Amplify;O AWS Amplify é uma plataforma de desenvolvimento que facilita a criação, o gerenciamento e a implantação de aplicativos web e móveis. Ele fornece uma variedade de recursos, como autenticação de usuários, armazenamento de dados, análise de dados, notificações push e muito mais. Com o AWS Amplify, os desenvolvedores podem acelerar o processo de desenvolvimento de aplicativos, aproveitando os serviços em nuvem da AWS de forma simplificada e eficiente. Além disso, o AWS Amplify oferece integração com outras ferramentas populares de desenvolvimento, como React, Angular, Vue.js e React Native, tornando-o uma escolha versátil para equipes de desenvolvimento de todos os tamanhos.
AWS App2Container;O AWS App2Container é uma ferramenta da Amazon Web Services (AWS) que ajuda na modernização de aplicações existentes, permitindo que sejam facilmente migradas para contêineres. Com o App2Container, é possível automatizar o processo de empacotamento de aplicações em contêineres, facilitando a implantação e execução dessas aplicações em ambientes de contêineres gerenciados, como o Amazon Elastic Container Service (ECS) ou o Amazon Elastic Kubernetes Service (EKS).
AWS AppFlow;O AWS AppFlow é um serviço de integração de dados totalmente gerenciado que facilita a transferência de dados entre serviços da AWS e aplicativos de terceiros de forma segura e eficiente. Com o AWS AppFlow, você pode automatizar o fluxo de dados entre diferentes fontes e destinos, como Salesforce, Google Analytics, Slack e muitos outros, sem a necessidade de escrever código personalizado.
AWS Application Migration Service (MGN);O AWS Application Migration Service (MGN) é um serviço da Amazon Web Services (AWS) que ajuda as empresas a migrar suas cargas de trabalho locais para a nuvem de forma eficiente e segura. Ele simplifica o processo de migração de aplicativos, permitindo que as organizações repliquem facilmente suas cargas de trabalho locais para a AWS, minimizando o tempo de inatividade e os riscos associados à migração.
AWS AppMesh;O AWS AppMesh é um serviço de malha de serviços que facilita a comunicação entre os diferentes serviços de uma aplicação distribuída. Ele fornece recursos avançados de monitoramento, controle de tráfego e segurança para ajudar a garantir a comunicação confiável entre os serviços, independentemente de sua localização ou tecnologia subjacente. Com o AWS AppMesh, os desenvolvedores podem melhorar a resiliência, escalabilidade e segurança de suas aplicações distribuídas na nuvem.
AWS Artifact;O AWS Artifact é um serviço que fornece acesso a documentação de conformidade e segurança da AWS. Ele oferece uma maneira conveniente de visualizar e baixar relatórios de conformidade, como certificações de segurança, relatórios de auditoria e acordos de conformidade. Com o AWS Artifact, os clientes podem acessar facilmente esses documentos para ajudar na avaliação da conformidade de seus ambientes na nuvem AWS. Este serviço é útil para organizações que precisam atender a requisitos regulatórios ou de conformidade específicos.
AWS Backup;O AWS Backup é um serviço de backup totalmente gerenciado que facilita a proteção dos dados armazenados em serviços da AWS, como o Amazon EBS, Amazon RDS, Amazon DynamoDB, Amazon EFS e Amazon EC2. Com o AWS Backup, você pode configurar políticas de backup centralizadas, automatizar a programação de backups e monitorar a conformidade com as políticas de retenção de dados.
;
;O serviço oferece recursos como backup sob demanda, backup programado, recuperação de dados granular e integração com o AWS Organizations para gerenciar backups em várias contas da AWS. O AWS Backup simplifica a gestão de backups em ambientes complexos e ajuda a garantir a segurança e a disponibilidade dos seus dados na nuvem AWS.
AWS Clean Rooms;AWS Clean Rooms é um serviço gerenciado que permite que múltiplas partes colaborem em conjuntos de dados sem expor os dados subjacentes uns aos outros. Esse serviço é projetado para facilitar a análise conjunta e a geração de insights, mantendo a privacidade e a segurança dos dados de todas as partes envolvidas. 
AWS Cloud MAP;O AWS Cloud Map é um serviço de descoberta de recursos altamente disponível e gerenciado pela Amazon Web Services (AWS). Ele permite que você defina recursos de aplicativos de forma dinâmica, facilitando a descoberta e a conexão entre eles. Com o AWS Cloud Map, você pode registrar recursos, como serviços de aplicativos, bancos de dados, servidores e outros recursos, e atribuir metadados a eles para facilitar a identificação e a comunicação entre os componentes do seu aplicativo. Isso ajuda a simplificar a arquitetura de aplicativos distribuídos e a melhorar a escalabilidade e a resiliência.
AWS CloudHSM;O AWS CloudHSM é um serviço de segurança de hardware que oferece módulos de segurança de hardware (HSMs) dedicados para ajudar a proteger dados confidenciais e atender a requisitos de conformidade. Com o AWS CloudHSM, você pode gerar e usar chaves de criptografia em um ambiente seguro e controlado, mantendo o controle total sobre suas chaves criptográficas. Isso é especialmente útil para aplicativos que exigem alto nível de segurança, como transações financeiras, armazenamento de dados sensíveis e comunicações seguras. O AWS CloudHSM ajuda a proteger suas chaves criptográficas contra acesso não autorizado e oferece integração com outros serviços da AWS para uma segurança abrangente em sua infraestrutura de nuvem.
AWS CodeBuild;O AWS CodeBuild é um serviço de compilação totalmente gerenciado que compila o código-fonte, executa testes e gera pacotes prontos para implantação. Ele é altamente escalável e flexível, permitindo que você compile seu código em várias linguagens de programação e ambientes de execução. Com o AWS CodeBuild, você pode automatizar o processo de compilação e integração contínua, acelerando o ciclo de desenvolvimento de software e garantindo a qualidade do código. Além disso, o CodeBuild integra-se perfeitamente com outros serviços da AWS, como o AWS CodePipeline, para criar pipelines de entrega contínua completos.
AWS CodeCatalyst;O AWS CodeCatalyst é uma plataforma de DevOps da Amazon Web Services (AWS) que facilita a colaboração e a automação no desenvolvimento de software. Ele integra várias ferramentas e serviços da AWS para proporcionar um ambiente unificado e eficiente para equipes de desenvolvimento. 
AWS CodeCommit;O AWS CodeCommit é um serviço de hospedagem de repositórios de código fonte na nuvem, oferecido pela Amazon Web Services (AWS). Ele permite que equipes de desenvolvimento armazenem, gerenciem e colaborarem em seus códigos de forma segura e escalável. Com o CodeCommit, é possível versionar o código, controlar alterações, revisar e colaborar em projetos de software de maneira eficiente. Além disso, o serviço é integrado com outras ferramentas da AWS, como o AWS CodeBuild, AWS CodePipeline e AWS CodeDeploy, facilitando a automação de pipelines de entrega contínua. O AWS CodeCommit oferece segurança avançada, controle de acesso granular e integração com ferramentas de gerenciamento de identidade, garantindo a proteção dos dados e a conformidade com as políticas de segurança da organização.
